Description,Cost,Quantity,Total,URL
Break Away Headers - Straight,1.5,2,3,https://www.sparkfun.com/products/116
PWRHDR: CONN HEADER R/A 4POS 5.08MM,1.8,1,1.8,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/641737-1/A25430-ND/289821
FANHDR: CONN HEADER VERT 4POS 2.54MM,0.46,6,2.76,https://www.digikey.com/products/en/connectors-interconnects/rectangular-connectors-headers-male-pins/314?k=47053-1000
CAP ALUM 10UF 20% 50V THRU HOLE,0.36,2,0.72,https://www.digikey.com/product-detail/en/nichicon/ULD1H100MDD1TD/493-16250-1-ND/7365023
CAP CER 0.1UF 100V Z5U RADIAL,0.31,3,0.93,https://www.digikey.com/product-detail/en/kemet/C320C104M1U5TA7303/399-14023-1-ND/6562562
RES 10K OHM 1/4W 1% AXIAL,0.1,5,0.5,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNF14FTD10K0/RNF14FTD10K0CT-ND/1975090
DIODE GEN PURP 100V 1A DO41,0.18,6,1.08,https://www.digikey.com/product-detail/en/diodes-incorporated/1N4934-T/1N4934DICT-ND/190410
TEENSY 3.5 W/ HDRS K64 EVAL BRD,31.25,1,31.25,https://www.digikey.com/product-detail/en/sparkfun-electronics/DEV-14056/1568-1464-ND/6569368
CONN HDR 14POS 0.1 TIN PCB,0.91,1,0.91,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPTC141LFBN-RC/S7012-ND/810152
CONN HDR 15POS 0.1 TIN PCB,0.98,1,0.98,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPTC151LFBN-RC/S7013-ND/810153
CONN HDR 3POS 0.1 GOLD PCB,0.37,1,0.37,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPPC031LFBN-RC/S7036-ND/810175
